,ZIP,Q14_4,Q14_5,RegionName,City,2015-01
0,92037,2.627906976744186,2.450980392156863,92037,San Diego,687.6625755752319
1,92101,2.547945205479452,2.8133333333333335,92101,San Diego,520.919660845067
2,92102,2.193548387096774,2.78125,92102,San Diego,311.344104557137
3,92103,2.4,2.358974358974359,92103,San Diego,462.72666218938906
4,92104,2.6176470588235294,2.6901408450704225,92104,San Diego,419.993995797058
5,92105,2.456896551724138,2.5203252032520327,92105,San Diego,277.255639097744
6,92106,2.2222222222222223,2.5714285714285716,92106,San Diego,495.12200227759905
7,92107,2.475,2.5555555555555554,92107,San Diego,476.445613800258
8,92108,2.4,2.2857142857142856,92108,San Diego,322.923076923077
9,92109,2.1818181818181817,2.5,92109,San Diego,554.283113040368
10,92110,1.8444444444444446,2.317073170731707,92110,San Diego,336.065573770492
11,92111,2.632911392405063,2.4050632911392404,92111,San Diego,315.530303030303
12,92114,2.5172413793103448,2.8640776699029127,92114,San Diego,248.813309859821
13,92115,2.6142857142857143,2.6343283582089554,92115,San Diego,319.240571411921
14,92116,2.097560975609756,2.3043478260869565,92116,San Diego,443.703703703704
15,92117,2.604651162790698,2.449438202247191,92117,San Diego,371.355617455896
16,92119,2.4864864864864864,2.5208333333333335,92119,San Diego,274.403341288783
17,92120,2.8444444444444446,2.517857142857143,92120,San Diego,298.851501773451
18,92122,2.697674418604651,2.604651162790698,92122,San Diego,389.452585547753
19,92123,2.56,2.75,92123,San Diego,317.92828685258996
20,92124,2.642857142857143,2.7,92124,San Diego,305.256548502812
21,92126,2.5543478260869565,2.619565217391304,92126,San Diego,300.641633463025
22,92127,2.888888888888889,2.652173913043478,92127,San Diego,319.887226198222
23,92128,2.9166666666666665,2.791044776119403,92128,San Diego,311.698457792208
24,92129,3.0697674418604652,2.9431818181818183,92129,San Diego,312.135069691895
25,92130,3.2,3.0,92130,San Diego,426.774483378257
26,92131,2.7115384615384617,2.8421052631578947,92131,San Diego,311.255811481514
27,92139,2.7,2.8055555555555554,92139,San Diego,218.775761747357
28,92154,2.6574074074074074,2.657142857142857,92154,San Diego,216.527516542978
